community_area,n_obs,ArrestRate_true,ArrestRate_pred,MeanProb,TP,FP,TN,FN,Precision,Recall,F1,AUC,Brier,FP_rate,FN_rate
0,18,0.05555555555555555,0.0,0.08977798367079061,0,0,17,1,,0.0,,1.0,0.04047676339292792,0.0,1.0
1,24351,0.24972280399162253,0.1592542400722763,0.2498551641191492,3468,410,17860,2613,0.8942753996905621,0.5703009373458313,0.6964554674164072,0.8895229400358434,0.1044247824809994,0.022441160372194856,0.42969906265416874
2,19986,0.15275692985089562,0.06294406084258981,0.1634596999075677,1158,100,16833,1895,0.9205087440381559,0.3792990501146413,0.5372303409881698,0.855163146698916,0.08490245229676921,0.005905628063544558,0.6207009498853586
3,23407,0.27940359721450847,0.18977229034049642,0.2753263921561644,4023,419,16448,2517,0.9056731202161189,0.615137614678899,0.7326534328901839,0.9091808072473454,0.10352133487522275,0.024841406296318255,0.3848623853211009
4,11360,0.17350352112676057,0.07315140845070423,0.17673913208102218,737,94,9295,1234,0.8868832731648616,0.373921867072552,0.5260528194147037,0.8819759448417005,0.09227960840509167,0.010011715837682395,0.626078132927448
5,9318,0.16591543249624383,0.08542605709379696,0.17771978650561027,714,82,7690,832,0.8969849246231156,0.46183699870633893,0.609735269000854,0.8949678548862502,0.08013992741716329,0.010550694801852806,0.538163001293661
6,32648,0.16935187454055378,0.06677284979171771,0.17628729355772937,1955,225,26894,3574,0.8967889908256881,0.3535901609694339,0.5071993773511481,0.8804959727112847,0.09048734990388616,0.008296766104944873,0.6464098390305661
7,24544,0.12434810951760104,0.04204693611473272,0.14100842500060035,933,99,21393,2119,0.9040697674418605,0.3057011795543906,0.4569049951028404,0.8638088902109686,0.07352722364488148,0.0046063651591289785,0.6942988204456094
8,56535,0.24027593526134253,0.136446449102326,0.23907184520589195,6848,866,42085,6736,0.8877365828364013,0.5041224970553593,0.6430650765330079,0.8901894257005114,0.10553348546337146,0.020162510768084563,0.4958775029446408
9,1582,0.11314791403286978,0.018963337547408345,0.12823345086232396,26,4,1399,153,0.8666666666666667,0.1452513966480447,0.2488038277511962,0.8070933394919902,0.08298219928140077,0.002851033499643621,0.8547486033519553
10,7042,0.13547287702357286,0.04217551831865947,0.1444133202151556,264,33,6055,690,0.8888888888888888,0.27672955974842767,0.4220623501199041,0.8480856935456773,0.08276807286645431,0.005420499342969776,0.7232704402515723
11,6164,0.15347177157689812,0.05905256327060351,0.1659835524093801,337,27,5191,609,0.9258241758241759,0.3562367864693446,0.5145038167938931,0.8460301063889273,0.08812594310832392,0.005174396320429283,0.6437632135306554
12,2910,0.09243986254295533,0.03470790378006873,0.1249658283305895,90,11,2630,179,0.8910891089108911,0.3345724907063197,0.48648648648648646,0.833182485512272,0.05914688011439263,0.0041650889814464215,0.6654275092936803
13,5474,0.16477895506028498,0.07964925100474973,0.17347228735016001,384,52,4520,518,0.8807339449541285,0.42572062084257206,0.5739910313901345,0.8764735893600885,0.08622981725160339,0.011373578302712161,0.5742793791574279
14,14150,0.22035335689045937,0.10063604240282685,0.21361814818452518,1331,93,10939,1787,0.9346910112359551,0.42687620269403465,0.5860854249229415,0.8792323811865043,0.10682819382361382,0.00843002175489485,0.5731237973059654
15,19824,0.21529459241323648,0.11037126715092817,0.2114202615840949,1978,210,15346,2290,0.9040219378427788,0.46344892221180883,0.6127633209417597,0.8751679770255327,0.10288135551542794,0.013499614296734378,0.5365510777881912
16,17727,0.17594629660969144,0.07220623907034467,0.1823632052174182,1190,90,14518,1929,0.9296875,0.3815325424815646,0.5410320527392589,0.8699154293000496,0.09407928817367972,0.006161007667031764,0.6184674575184353
17,9820,0.1505091649694501,0.051527494908350305,0.1568884138106286,469,37,8305,1009,0.9268774703557312,0.31732070365358594,0.4727822580645161,0.8511020663003037,0.0879719573431721,0.004435387197314793,0.6826792963464141
18,3725,0.13476510067114095,0.045100671140939595,0.15238296583901917,155,13,3210,347,0.9226190476190477,0.30876494023904383,0.46268656716417916,0.8419236488733265,0.08260603014377814,0.004033509152963078,0.6912350597609562
19,28683,0.22745180071819546,0.12184917895617613,0.22864192721396018,3242,253,21906,3282,0.9276108726752503,0.49693439607602696,0.6471703762850584,0.8801265201121967,0.10328015721661225,0.011417482738390721,0.503065603923973
20,9428,0.24087823504454817,0.1330080610946118,0.24249170035531312,1183,71,7086,1088,0.9433811802232854,0.5209158960810216,0.6712056737588653,0.8858459633457239,0.10324623550853579,0.009920357691770295,0.47908410391897843
21,14563,0.18718670603584425,0.07917324727047999,0.19328262953374786,1072,81,11756,1654,0.9297484822202949,0.3932501834189288,0.5527197731374065,0.8662879107882061,0.09820575971703646,0.006842950071808736,0.6067498165810712
22,32208,0.18886612021857924,0.08826999503229012,0.1932077311067339,2629,214,25911,3454,0.924727400633134,0.4321880650994575,0.5890656509074613,0.8788907292816196,0.09338585923258574,0.008191387559808612,0.5678119349005425
23,48240,0.36656301824212273,0.2879560530679934,0.3585678896275377,13432,459,30098,4251,0.9669570225325751,0.7595996154498671,0.8508266295052892,0.9318288396391341,0.093569307385962,0.015021108093071963,0.2404003845501329
24,46078,0.1688658361908069,0.08223013151612484,0.17760355092288369,3580,209,38088,4201,0.9448403272631302,0.46009510345713917,0.6188418323249784,0.8799754196931534,0.08303570857141525,0.005457346528448703,0.5399048965428608
25,96285,0.36209170691177234,0.28184036973568055,0.3536601206639522,26104,1033,60388,8760,0.961933890997531,0.7487379531895365,0.8420509346623442,0.9276907427020636,0.09607142655796512,0.016818352029436188,0.2512620468104635
26,29083,0.4264003025822646,0.36681222707423583,0.4146820082461257,10317,351,16331,2084,0.9670978627671541,0.8319490363680349,0.8944470935021024,0.9465343992228058,0.08903238362125145,0.021040642608799905,0.16805096363196517
27,28721,0.37032136764040247,0.2972389540754152,0.3641590970547181,8234,303,17782,2402,0.9645074382101441,0.7741632192553591,0.858916184217389,0.9346541934617185,0.09229620121620476,0.016754216201271772,0.22583678074464084
28,48627,0.2258004812141403,0.13648795936413927,0.22927125356024686,6114,523,37124,4866,0.9211993370498719,0.5568306010928962,0.6941022875631492,0.894639416644011,0.09386783323794577,0.013892209206576885,0.44316939890710383
29,45292,0.3582089552238806,0.28245606288086195,0.3541887901916844,12246,547,28521,3978,0.9572422418510123,0.7548076923076923,0.8440569321432263,0.9259179667196742,0.09558437209510294,0.018817944131003166,0.24519230769230768
30,26404,0.2642781396758067,0.14698530525677928,0.26248384484321935,3604,277,19149,3374,0.928626642617882,0.5164803668672973,0.6637811953218529,0.8716445483513848,0.11464268064388276,0.014259240193555029,0.4835196331327028
31,15553,0.2456117790779914,0.1255063331833087,0.23633288806270913,1780,172,11561,2040,0.9118852459016393,0.46596858638743455,0.6167706167706168,0.8741204273265142,0.11252960540543061,0.014659507372368534,0.5340314136125655
32,40148,0.23981269303576766,0.15447842980970408,0.23739079243520775,5169,1033,29487,4459,0.8334408255401483,0.5368716244287495,0.6530638029058748,0.8937759370060351,0.10907798618534316,0.03384665792922674,0.46312837557125053
33,12485,0.28370044052863436,0.2273928714457349,0.2919161478286025,2425,414,8529,1117,0.8541740049313138,0.6846414455110107,0.7600689547092933,0.9089079951936007,0.10264378200894626,0.04629319020462932,0.31535855448898925
34,6115,0.21390024529844645,0.13605887162714636,0.2270714673902958,756,76,4731,552,0.9086538461538461,0.5779816513761468,0.7065420560747664,0.8932094600827415,0.0913308882557396,0.015810276679841896,0.42201834862385323
35,17554,0.3267631309103338,0.2504842201207702,0.3201296987827156,4158,239,11579,1578,0.9456447577894018,0.7248953974895398,0.8206848909503602,0.9263371250932031,0.09421945346215495,0.02022338805212388,0.27510460251046026
36,3755,0.1685752330226365,0.09001331557922769,0.18299480127038922,309,29,3093,324,0.9142011834319527,0.4881516587677725,0.6364572605561277,0.8681122503195502,0.08588064997231926,0.009288917360666239,0.5118483412322274
37,5165,0.33746369796708614,0.23368828654404647,0.3228544350177929,1142,65,3357,601,0.9461474730737366,0.6551921973608721,0.7742372881355932,0.9111581166445866,0.10897659623076586,0.018994739918176504,0.3448078026391279
38,21898,0.251575486345785,0.15996894693579322,0.25096815877629486,3315,188,16201,2194,0.9463317156722809,0.601742603013251,0.7356857523302264,0.8959065103956659,0.09672195092802728,0.011471108670449691,0.39825739698674895
39,9422,0.16525153895139036,0.0777966461473148,0.17328164398914575,642,91,7774,915,0.8758526603001364,0.4123314065510597,0.5606986899563319,0.8705718815545398,0.08831876407430474,0.011570247933884297,0.5876685934489403
40,16483,0.259843475095553,0.16586786385973426,0.2597311940887865,2593,141,12059,1690,0.9484272128749086,0.605416763950502,0.7390622773264929,0.8923087846346403,0.10042751155642074,0.011557377049180327,0.394583236049498
41,10721,0.1300251842178901,0.04812983863445574,0.14876538765652764,452,64,9263,942,0.875968992248062,0.3242467718794835,0.4732984293193717,0.8604166195579429,0.07852934063518352,0.006861799077945749,0.6757532281205165
42,24808,0.2805143502096098,0.18421476942921639,0.2736802155504944,4270,300,17549,2689,0.9343544857768052,0.6135939071705705,0.7407407407407407,0.9005047298837987,0.10362610233991149,0.016807664294918482,0.3864060928294295
43,51831,0.2190966795932936,0.1263915417414289,0.2199168055629587,6173,378,40097,5183,0.9422988856663105,0.5435892920042268,0.6894510526609705,0.8902997155781094,0.09400702574212329,0.009339098208770847,0.45641070799577316
44,35026,0.23867983783475133,0.15211557128989894,0.23773184885194662,4851,477,26189,3509,0.910472972972973,0.5802631578947368,0.7087960257159556,0.896211795247034,0.099406030919331,0.017887947198679966,0.41973684210526313
45,7923,0.17177836678026,0.08607850561655939,0.18324993821889404,633,49,6513,728,0.9281524926686217,0.4650991917707568,0.619676945668135,0.8859842174602686,0.08510499233983956,0.007467235598902774,0.5349008082292432
46,28388,0.24066506974778076,0.14220797520078907,0.23654448574360357,3802,235,21321,3030,0.9417884567748328,0.5564988290398126,0.6996043794277302,0.8876969952018664,0.1007453182712601,0.010901837075524216,0.4435011709601874
47,2280,0.19956140350877194,0.11798245614035088,0.19588837367406664,260,9,1816,195,0.966542750929368,0.5714285714285714,0.718232044198895,0.8917772090922751,0.08400443527089228,0.004931506849315068,0.42857142857142855
48,8505,0.16860670194003527,0.08689006466784245,0.17858188733002314,699,40,7031,735,0.945872801082544,0.4874476987447699,0.6433502070869765,0.8883335532584721,0.08136802194559957,0.00565690849950502,0.5125523012552301
49,41090,0.2554879532733025,0.16412752494524216,0.25394802282443635,6258,486,30106,4240,0.9279359430604982,0.5961135454372262,0.7259018675327689,0.8962588669384928,0.10013519264623837,0.01588650627615063,0.4038864545627739
50,6446,0.22603164753335403,0.13388147688488986,0.22687569806725577,777,86,4903,680,0.9003476245654692,0.5332875772134523,0.6698275862068965,0.8787697381734675,0.10196596791682268,0.01723792343154941,0.4667124227865477
51,10314,0.2080667054489044,0.11683149117704092,0.2069233778055164,1071,134,8034,1075,0.8887966804979253,0.49906803355079216,0.6392121754700089,0.8742762940504759,0.09869533771231542,0.016405484818805095,0.5009319664492078
52,7719,0.1998963596320767,0.10752688172043011,0.20214412213327795,771,59,6117,772,0.9289156626506024,0.49967595593000647,0.649810366624526,0.8700465750388683,0.09470264686009947,0.009553108808290155,0.5003240440699935
53,25461,0.2355367031931189,0.14838380267860649,0.2366348150037067,3518,260,19204,2479,0.9311805187930122,0.5866266466566616,0.7197953964194373,0.8899271914694161,0.09624995322227435,0.013357994245787094,0.41337335334333836
54,7163,0.2120619852017311,0.11014937875191959,0.2158926828004186,722,67,5577,797,0.9150823827629911,0.47531270572745227,0.6256499133448873,0.8564238170977686,0.1047195016984532,0.011871013465627215,0.5246872942725477
55,3578,0.17020681945220795,0.07294577976523198,0.17426294341727913,243,18,2951,366,0.9310344827586207,0.39901477832512317,0.5586206896551725,0.8492277342058415,0.09211474549858761,0.006062647356012125,0.6009852216748769
56,13079,0.22807554094349722,0.14427708540408288,0.22956552853555415,1759,128,9968,1224,0.9321674615792263,0.5896748240026819,0.7223819301848049,0.8941682144407319,0.09128349068657801,0.012678288431061807,0.41032517599731816
57,5843,0.17456785897655314,0.09053568372411433,0.19036606705900644,483,46,4777,537,0.9130434782608695,0.47352941176470587,0.6236281471917365,0.8746244506510884,0.08756429127391555,0.009537632179141614,0.5264705882352941
58,15007,0.23355767308589326,0.13726927433864197,0.24094476451238261,1945,115,11387,1560,0.9441747572815534,0.5549215406562055,0.6990116801437557,0.8898626697930845,0.09765678075878828,0.009998261171970092,0.4450784593437946
59,6422,0.2292120834630956,0.11304889442541265,0.22426797497532214,639,87,4863,833,0.8801652892561983,0.43410326086956524,0.5814376706096451,0.8678234107378143,0.1116353343549232,0.017575757575757574,0.5658967391304348
60,10025,0.1718703241895262,0.07800498753117208,0.1886009369603721,704,78,8224,1019,0.9002557544757033,0.4085896691816599,0.5620758483033932,0.8513298685588284,0.09244678443949032,0.0093953264273669,0.5914103308183402
61,31150,0.31573033707865167,0.20873194221508828,0.30472624352076694,6057,445,20870,3778,0.9315595201476469,0.6158617183528216,0.7415070086307155,0.8917616940365196,0.1140702190811336,0.020877316443818905,0.38413828164717845
62,6005,0.17768526228143214,0.08126561199000833,0.18669764403803946,437,51,4887,630,0.8954918032786885,0.4095595126522962,0.5620578778135048,0.8623077045713612,0.09399582607742259,0.010328068043742407,0.5904404873477038
63,14299,0.2417651584026855,0.13273655500384643,0.23877694278952846,1776,122,10720,1681,0.9357218124341412,0.5137402371998843,0.6633053221288515,0.8824281443984345,0.10506935503777191,0.011252536432392548,0.4862597628001157
64,6234,0.14950272698107153,0.05325633622072506,0.16024798959324202,302,30,5272,630,0.9096385542168675,0.3240343347639485,0.4778481012658228,0.8481253733711307,0.08857849300593537,0.005658242172764994,0.6759656652360515
65,11552,0.21043975069252077,0.11400623268698061,0.21299511851749375,1027,290,8831,1404,0.7798025816249051,0.42245989304812837,0.5480256136606191,0.867056423329277,0.10898272807691232,0.031794759346562874,0.5775401069518716
66,37460,0.25483182060864923,0.15533902829684998,0.2527575558606474,5521,298,27616,4025,0.9487884516239904,0.5783574271946365,0.7186462739993492,0.8862899927692374,0.10194348563714971,0.01067564662893172,0.4216425728053635
67,43697,0.28320021969471587,0.19637503718790764,0.28149780039979816,8167,414,30908,4208,0.9517538748397623,0.659959595959596,0.7794426417255202,0.9050322211967065,0.09809859505614486,0.013217546772236766,0.34004040404040403
68,40203,0.2707758127502923,0.17993682063527597,0.26866422576509225,6850,384,28933,4036,0.9469173348078518,0.6292485761528569,0.7560706401766004,0.8994414924969087,0.09930544680144616,0.013098202408159088,0.3707514238471431
69,38990,0.24555014106181072,0.15547576301615798,0.24713109207727307,5689,373,29043,3885,0.9384691520950181,0.5942134948819721,0.727679713481709,0.8903540058604239,0.09927190432466577,0.01268017405493609,0.405786505118028
70,14269,0.149204569346135,0.060130352512439554,0.16016065552302752,785,73,12067,1344,0.914918414918415,0.3687177078440582,0.5256109809173084,0.8541086146205652,0.08509003862614131,0.006013179571663921,0.6312822921559418
71,44032,0.24623001453488372,0.15947492732558138,0.24605680943811184,6595,427,32763,4247,0.9391911136428368,0.6082826046854823,0.7383564711150917,0.8972631638124733,0.09584358992085806,0.012865320879783067,0.3917173953145176
72,5729,0.12620003491010648,0.04084482457671496,0.14149003851867192,215,19,4987,508,0.9188034188034188,0.29737206085753803,0.4493207941483804,0.8237785473476092,0.07946108163692832,0.0037954454654414702,0.7026279391424619
73,18856,0.2136720407297412,0.12712134068731437,0.2162632052381441,2257,140,14687,1772,0.9415936587400918,0.5601886324149913,0.7024587612822906,0.9048962293528447,0.08985020075865308,0.009442233762730155,0.43981136758500866
74,3567,0.15671432576394728,0.05522848331931595,0.159807350063117,165,32,2976,394,0.8375634517766497,0.295169946332737,0.43650793650793646,0.8213639596734289,0.09530974641248208,0.010638297872340425,0.7048300536672629
75,12457,0.20863771373524925,0.11808621658505258,0.20792264468390342,1373,98,9760,1226,0.9333786539768865,0.5282801077337438,0.6746928746928748,0.8830164597382877,0.09319636859654858,0.009941164536417123,0.47171989226625627
